type,size,locality,price
1+kt,28,Brno - Zábrdovice,9990
2+1,81,Brno - Veveří,16000
4+kt,104,Brno - Zábrdovice,20000
2+kt,64,Brno - Zábrdovice,16200
1+kt,41,Brno - Štýřice,10990
2+kt,69,Brno,12000
3+kt,76,Brno - Lesná,18000
3+kt,90,Brno - Staré Brno,21000
2+kt,69,Brno - Brno-město,21000
2+kt,56,Brno - Královo Pole,23000
2+kt,47,Brno - Ivanovice,15000
1+kt,34,Brno - Židenice,9800
2+kt,51,Brno - Štýřice,9500
4+1,174,Brno - Brno-město,26500
2+kt,70,Brno - Pisárky,14000
2+kt,49,Brno - Brno-střed,18500
2+kt,58,Brno,13500
1+kt,33,Brno - Líšeň,11000
2+1,60,Brno - Komín,16000
2+kt,65,Brno,15000
2+kt,44,Brno - Židenice,10900
1+kt,28,Brno - Zábrdovice,9990
2+1,78,Brno - Staré Brno,16500
1+kt,55,Brno,13900
3+1,76,Brno - Bohunice,15000
2+kt,65,Brno - Veveří,15000
1+kt,28,Brno,8500
1+1,45,Brno - Veveří,8500
2+kt,45,Brno - Veveří,8500
2+kt,50,Brno - Štýřice,4650
3+kt,58,Brno,12000
2+kt,55,Brno,12000
2+1,50,Brno - Staré Brno,15000
1+1,41,Brno - Bystrc,10000
1+kt,28,Brno - Řečkovice,8000
2+1,62,Brno - Židenice,12000
3+kt,74,Brno - Staré Brno,18500
1+kt,35,Brno - Černovice,9000
2+kt,65,Brno - Líšeň,13000
2+kt,45,Brno,12500
1+kt,32,Brno - Žabovřesky,10700
2+1,82,Brno - Brno-město,17000
1+kt,28,Brno - Zábrdovice,9990
1+1,42,Brno - Černá Pole,11500
1+1,34,Brno - Bystrc,9000
1+kt,38,Brno - Bystrc,9500
2+kt,58,Brno - Nový Lískovec,11000
3+kt,79,Brno - Zábrdovice,17500
3+kt,81,Brno - Medlánky,16000
1+kt,30,Brno,10500
1+kt,25,Brno - Židenice,8000
2+kt,32,Brno - Královo Pole,13500
2+kt,47,Brno,14000
3+kt,60,Brno - Židenice,13000
2+kt,58,Brno,16500
2+kt,42,Brno - Zábrdovice,11990
1+1,40,Brno - Bystrc,10500
3+1,82,Brno - Maloměřice,14000
2+kt,54,Brno - Trnitá,15000
2+1,57,Brno,14000
3+kt,81,Brno - Brno-Slatina,20500
2+kt,42,Brno,10000
2+kt,85,Brno,20000
1+kt,28,Brno - Zábrdovice,9990
2+kt,70,Brno - Pisárky,14000
flatshare,30,Brno - Komín,4000
3+1,113,Brno,28000
3+kt,101,Brno - Černovice,17000
2+kt,69,Brno,11000
3+kt,88,Brno,19000
3+kt,74,Brno,18500
2+kt,45,Brno - Lesná,13000
2+kt,45,Brno,12000
1+kt,25,Brno - Veveří,7500
2+1,76,Brno - Veveří,13000
1+1,40,Brno - Bystrc,10000
2+kt,45,Brno - Staré Brno,12500
4+1,89,Brno - Řečkovice,15000
2+kt,104,Brno,15000
1+kt,34,Brno,9800
2+kt,50,Brno - Komárov,14500
1+kt,52,Brno - Černá Pole,11500
2+kt,60,Brno - Trnitá,16000
1+kt,37,Brno - Bystrc,12500
1+kt,28,Brno - Zábrdovice,9990
1+kt,30,Brno - Žabovřesky,9500
1+kt,40,Brno - Brno-město,14000
2+kt,61,Brno,16000
3+kt,80,Brno - Ponava,22000
2+kt,87,Brno - Lesná,15500
2+1,85,Brno - Královo Pole,18000
2+1,50,Brno - Veveří,10000
2+kt,57,Brno - Královo Pole,17000
1+kt,35,Brno,8000
1+kt,35,Brno - Zábrdovice,11150
2+kt,53,Brno - Židenice,13200
1+kt,23,Brno - Lesná,8000
3+kt,59,Brno - Zábrdovice,16000
1+1,38,Brno - Zábrdovice,11000
1+1,33,Brno,10000
1+1,32,Brno - Jundrov,9990
1+kt,33,Brno - Líšeň,11500
2+kt,35,Brno - Královo Pole,10000
2+kt,47,Brno,12000
1+kt,21,Brno - Zábrdovice,8400
1+kt,28,Brno - Zábrdovice,9990
1+1,45,Brno - Královo Pole,10000
1+kt,52,Brno,14500
2+kt,55,Brno,13000
1+1,25,Brno - Zábrdovice,9000
2+kt,45,Brno - Štýřice,13000
2+1,38,Brno - Zábrdovice,11000
3+kt,91,Brno,23000
1+1,39,Brno - Zábrdovice,10000
2+kt,50,Brno - Brno-město,15000
3+1,60,Brno - Židenice,15000
2+1,66,Brno - Staré Brno,13000
3+kt,72,Brno - Staré Brno,
2+1,67,Brno - Židenice,14000
1+kt,40,Brno,13000
3+kt,68,Brno - Husovice,13000
1+kt,27,Brno - Zábrdovice,10000
3+kt,68,Brno - Husovice,11990
1+kt,37,Brno - Ivanovice,7000
3+kt,70,Brno - Židenice,15990
2+kt,38,Brno - Trnitá,15000
1+kt,28,Brno - Zábrdovice,9990
2+kt,58,Brno - Medlánky,13000
1+kt,33,Brno - Bohunice,9500
2+kt,70,Brno,13500
1+1,41,Brno - Královo Pole,6900
2+1,57,Brno - Ponava,13500
2+1,57,Brno,12900
2+kt,52,Brno,14000
2+1,60,Brno - Trnitá,12500
1+kt,26,Brno,7000
2+1,55,Brno - Řečkovice,13500
2+kt,50,Brno - Královo Pole,13000
2+kt,60,Brno - Staré Brno,17900
1+kt,37,Brno - Královo Pole,14500
2+1,64,Brno - Brno-město,14000
