type,size,locality,price
3,45,0,12000
1,25,16,7500
4,76,16,13000
3,70,11,14000
3,70,11,14000
2,40,14,10000
7,104,18,20000
3,45,7,12500
2,36,16,8500
8,89,26,15000
3,104,0,15000
1,30,0,9800
3,50,19,14500
1,52,9,11500
3,60,3,16000
1,40,41,14000
1,37,14,12500
1,30,5,9500
11,30,15,4000
1,40,41,14000
3,61,0,16000
6,94,0,22000
5,80,23,22000
3,87,28,15500
3,56,13,23000
3,47,25,15000
4,85,13,20000
4,50,16,10000
3,57,13,17000
1,35,0,8000
1,35,18,11150
3,53,17,13200
1,23,28,8000
4,56,16,16000
5,59,18,16000
1,25,24,8000
2,38,18,11000
2,33,0,10000
2,32,1,9990
1,33,12,11500
3,35,13,10000
3,47,0,12000
1,21,18,8400
9,128,13,4200
5,75,0,14200
2,45,13,10000
1,52,0,14500
4,57,0,14000
5,81,39,20500
3,54,3,15000
3,55,0,13000
3,58,0,16500
3,42,18,11990
2,25,18,9000
3,45,24,13000
4,38,18,11000
5,91,0,23000
2,39,18,10000
3,50,41,15000
11,30,15,4000
6,60,17,15000
4,66,7,13000
5.0,72.0,7.0,
4,67,17,14000
1,40,0,13000
5,68,27,13000
5,98,0,23000
1,27,18,10000
5,68,27,11990
1,37,25,7000
1,25,21,8500
5,70,17,15990
3,38,3,15000
3,58,2,13000
1,33,6,9500
3,70,0,13500
2,41,13,6900
4,57,23,13500
4,57,0,12900
3,69,41,21000
3,67,13,9500
3,52,0,14000
4,60,3,12500
1,26,0,7000
4,55,26,13500
3,50,13,13000
4,50,7,15000
3,60,7,17900
1,37,13,14500
4,64,41,14000
1,27,16,10990
3,75,20,11990
1,37,13,10990
1,33,17,7990
1,28,18,9990
5,110,13,15000
1,40,0,11500
4,82,41,17000
3,50,3,13900
3,48,10,15000
4,61,1,14000
1,28,18,11000
4,60,9,12000
3,54,0,10500
5,85,11,23000
3,52,0,18000
7,110,19,26000
4,45,2,13000
2,33,40,11000
1,33,3,12000
1,28,40,12000
7,115,15,19500
5,81,2,16000
1,23,12,5500
3,70,10,14000
1,36,40,11000
3,50,40,12990
6,131,9,19600
5,96,0,20000
5,90,41,18000
2,40,15,10500
2,45,16,9000
3,45,16,9000
3,55,7,17000
1,32,30,7839
2,47,16,12000
5,67,17,18000
11,30,26,6000
1,20,22,8500
4,56,21,13000
2,36,10,9900
2,32,10,11000
4,65,41,15160
5,66,5,15000
5,83,0,23000
4,53,7,15000
1,20,26,5000
4,45,40,17900
4,64,14,12900
2,38,0,9000
1,33,18,10500
3,85,0,20000
1,33,12,11000
4,75,40,16900
4,55,20,13000
7,116,36,21900
6,83,0,13000
4,70,13,12500
5,100,24,18000
2,45,16,12500
12,200,9,29900
1,46,0,11400
1,54,41,20000
5,79,21,18900
3,69,0,12000
8,117,16,25000
5,94,7,25000
3,40,0,12900
1,35,0,9000
1,43,24,12000
8,130,16,34000
5,85,11,23000
5,109,41,20900
4,50,0,13500
6,68,0,4000
5,113,3,21900
1,41,0,13000
1,30,17,10000
3,57,0,14700
3,70,17,15400
6,75,41,30000
2,36,9,12000
6,66,7,20000
1,30,18,9500
1,46,18,12100
1,53,18,12500
6,130,41,29900
3,49,2,13900
3,54,26,12000
6,115,5,16500
5,70,26,16000
10,102,17,25000
1,27,3,11000
2,30,7,11500
4,58,14,12000
4,56,5,13000
5,120,16,22000
2,40,3,10000
3,55,23,15000
4,60,20,12990
6,69,26,15000
2,41,15,10490
3,55,6,16500
4,64,3,10500
6,70,28,12900
3,40,5,12900
2,42,14,10500
5,90,8,16000
3,60,13,21000
4,54,7,14500
4,56,17,10000
4,46,18,10000
1,44,18,9900
3,40,5,12900
3,58,0,13500
3,40,5,12900
1,30,0,10500
3,52,5,9000
3,40,5,12900
5,74,8,21000
1,38,0,11500
2,45,18,10300
3,68,18,14000
4,81,16,16000
7,118,27,20900
3,44,17,13500
2,52,16,12000
2,32,23,10000
2,45,5,10500
5,115,0,18500
1,23,28,8800
8,144,18,25000
3,48,20,11900
1,36,7,12900
6,77,6,16900
5,77,22,16900
3,32,13,13500
1,34,0,11000
5,90,7,21000
2,35,15,9000
3,44,13,8900
1,42,7,12000
3,55,0,12000
1,23,24,6000
1,32,3,12000
3,45,0,12500
1,28,3,8000
3,48,5,13900
3,46,13,15900
4,54,17,12000
4,50,16,11000
3,97,40,36000
5,81,8,20000
3,58,0,15000
5,88,13,24000
2,45,5,9500
1,36,24,10000
6,70,26,12990
4,55,8,16000
1,36,13,11900
2,30,18,10000
7,75,41,29000
3,58,0,22000
3,46,39,12000
3,47,0,14000
3,48,27,12000
8,90,26,15000
1,37,0,9500
3,45,16,12000
1,21,12,11000
2,37,10,7500
1,79,13,14000
4,52,0,13500
1,37,24,10400
5,100,0,28000
2,34,14,9000
3,49,9,14900
5,104,3,21000
1,28,0,12000
4,59,7,12500
4,57,10,14000
3,36,12,9000
4,64,7,25000
1,38,0,11500
2,42,9,11500
4,65,17,11500
7,96,14,22000
4,75,41,15000
11,25,4,9500
1,36,0,9900
7,104,33,18700
1,40,18,10500
1,47,16,13000
2,35,13,12000
11,100,16,10500
1,42,15,12500
1,25,29,8500
3,58,7,15400
2,30,17,9900
5,82,0,20000
3,58,41,15000
4,50,9,12000
3,70,17,13000
6,77,6,13500
4,60,30,15000
5,100,14,21000
1,25,31,9000
4,45,5,13000
5,98,23,23000
3,64,18,16750
5,75,8,20000
8,90,0,20000
3,55,0,12500
1,34,6,11500
3,55,16,14700
7,122,16,45000
3,49,40,18500
6,77,0,14600
4,62,17,17500
2,33,0,10000
1,36,13,12900
1,48,13,13900
2,42,17,13500
2,50,3,12000
5,86,20,15900
12,120,16,4200
3,43,27,13000
4,57,16,10000
8,115,0,23000
7,115,14,23000
1,30,0,10500
6.0,64.0,0.0,
3,46,12,13500
1,48,13,13900
4,71,9,17000
8,82,12,15500
5,108,41,29000
3,40,14,17000
11,160,13,4500
3,68,0,15000
3,51,0,12000
6,80,9,12500
3,85,24,18900
5,118,13,19000
4,57,17,15000
1,35,13,10400
2,42,26,11000
6,76,10,16000
2,38,14,10500
1,36,0,9900
3,68,7,14000
5,90,17,13500
2,32,13,10500
2,38,14,6550
5,76,24,18000
2,44,17,9500
1,40,0,9400
2,41,17,12000
2,40,28,9500
5,105,0,23000
2,48,26,10000
3,61,5,16000
6,80,9,20000
1,35,0,13000
1,36,7,9900
1,33,18,12000
5,82,14,18500
4,45,3,13000
3,50,7,20000
4,59,7,17000
1,36,3,10500
5,75,12,15900
1,32,13,10900
2,46,14,10000
6,110,7,19000
4,54,10,14000
3,40,37,13500
3,78,11,16900
6,64,0,6000
4,54,0,13800
4,63,27,15000
3,47,18,15000
5,95,41,19500
4,75,41,17200
2,44,14,11000
1,31,18,11000
3,40,14,10000
4,70,13,12900
3,58,8,14900
5,150,14,20000
3,117,0,18000
