type,size,locality,price
5+1,198,Praha 6,65000
2+kt,123,Praha 4,39800
4+1,133,Praha 2,25000
2+kt,54,Praha 2,23000
2+kt,50,Praha 3,15000
2+kt,50,Praha 2,20000
3+1,100,Praha 2,27000
3+1,131,Praha 2,25000
3+kt,80,Praha 1,20000
1+kt,30,Praha 1,10500
4+1,200,Praha 2,50000
2+1,50,Praha 8,15000
2+kt,62,Praha 1,15000
2+kt,40,Praha,13900
4+kt,134,Praha 3,89800
3+kt,115,Praha 8,39000
2+kt,43,Praha 9,13000
1+kt,28,Praha 3,12000
2+kt,44,Praha 1,16000
2+kt,59,Praha 7,18000
2+1,62,Praha 9,13500
5+1,174,Praha 1,67000
4+kt,200,Praha 3,119000
2+kt,40,Praha 3,11400
3+kt,107,Praha 2,55000
2+kt,52,Praha 8,15000
2+kt,60,Praha 9,15500
4+kt,200,Praha 3,55000
1+kt,38,Praha 9,12000
3+kt,78,Praha 7,32000
2+kt,45,Praha,17900
3+1,93,Praha,20000
2+kt,65,Praha 7,20000
unusual,26,Praha 4,12000
2+1,55,Praha 6,14900
2+1,89,Praha 6,18000
2+kt,52,Praha 1,14000
1+kt,28,Praha 4,11000
3+kt,116,Praha 3,55808
2+kt,52,Praha 4,16000
3+1,107,Praha 2,38000
3+1,87,Praha 2,30000
2+kt,54,Praha 6,16500
3+1,94,Praha 5,42000
,200,Praha 5,75000
4+1,165,Praha 1,92000
4+kt,203,Praha 1,90000
5+kt,197,Praha 1,100000
2+kt,50,Praha,17000
3+1,115,Praha 1,42000
5+kt,293,Praha 6,69000
4+kt,160,Praha 2,55000
2+1,48,Praha 3,16000
2+1,90,Praha 1,26000
2+kt,55,Praha 1,22000
4+kt,110,Praha 6,36000
3+kt,93,Praha 3,44954
2+kt,89,Praha 3,39952
3+kt,110,Praha 1,72600
3+kt,70,Praha 6,22500
3+kt,107,Praha 2,55000
2+kt,65,Praha,21000
2+kt,45,Praha 2,11500
1+kt,43,Praha 2,28000
4+1,120,Praha 7,38280
3+kt,81,Praha 1,25500
2+kt,55,Praha,18000
2+kt,73,Praha 7,28000
2+kt,50,Praha 5,35000
2+kt,71,Praha 7,28000
3+1,186,Praha 1,51000
3+1,63,Praha 6,21000
5+kt,160,Praha 9,48000
2+kt,50,Praha 5,35000
2+kt,55,Praha 9,18600
3+kt,85,Praha 7,24000
3+kt,85,Praha 7,24000
2+1,105,Praha 5,25000
1+kt,18,Praha 1,8000
2+kt,57,Praha 6,18000
2+1,75,Praha 2,24000
3+kt,99,Praha 5,33000
3+1,120,Praha 2,38000
2+kt,71,Praha 5,24000
unusual,219,Praha 1,99000
4+kt,101,Praha 5,30000
,160,Praha 5,41000
4+kt,166,Praha 3,119800
4+kt,135,Praha 3,89891
3+kt,129,Praha 4,
3+kt,138,Praha 4,130000
3+kt,140,Praha 1,75000
2+kt,73,Praha 2,27000
2+kt,89,Praha 3,39952
2+kt,66,Praha 2,23260
5+1,198,Praha 6,65000
3+kt,93,Praha 3,44708
1+kt,43,Praha 4,12900
,208,Praha 2,79900
3+1,115,Praha 1,52000
4+kt,181,Praha 5,75000
3+kt,127,Praha 2,44900
5+1,193,Praha 5,110000
1+kt,48,Praha 1,23000
2+1,87,Praha 2,25000
2+1,80,Praha 1,54000
3+kt,94,Praha 2,35900
3+kt,110,Praha 2,39490
2+kt,53,Praha 5,22000
3+kt,81,Praha 5,30450
3+kt,105,Praha 1,55000
2+kt,54,Praha 5,17500
5+1,206,Praha 2,75000
3+kt,69,Praha 5,25000
4+kt,128,Praha 2,49900
4+kt,168,Praha 2,59000
3+kt,88,Praha 5,31850
5+kt,250,Praha 7,85000
2+kt,55,Praha 5,22900
4+kt,130,Praha 2,49900
1+kt,33,Praha 4,12000
4+1,110,Praha 6,36000
2+kt,50,Praha 1,22000
2+kt,62,Praha 1,28000
2+1,90,Praha 1,26000
3+1,112,Praha 1,42000
5+1,198,Praha 6,65000
5+1,197,Praha 1,100000
4+1,203,Praha 1,90000
2+1,71,Praha 5,26000
4+kt,140,Praha 1,58000
4+kt,155,Praha 5,45000
2+kt,82,Praha 1,52000
3+kt,95,Praha 4,45000
3+1,70,Praha 4,24000
4+1,165,Praha 1,92000
5+kt,172,Praha 1,59000
3+kt,76,Praha 5,24000
4+kt,118,Praha 5,34000
1+1,48,Praha 5,16000
,203,Praha 5,75000
2+kt,47,Praha 6,13500
1+kt,40,Praha 7,12500
3+1,110,Praha 1,54500
4+kt,185,Praha 5,59000
5+1,240,Praha 6,69500
2+kt,52,Praha 6,16200
,214,Praha 3,50000
3+kt,77,Praha 4,24000
1+kt,32,Praha 4,13000
3+1,110,Praha 1,48000
3+kt,110,Praha 6,36000
3+kt,90,Praha 1,26000
4+kt,133,Praha 4,24000
,200,Praha 5,79900
3+1,87,Praha 2,30000
3+1,94,Praha 5,42000
3+kt,84,Praha 5,25500
3+kt,73,Praha 5,23500
1+1,50,Praha 5,17500
2+kt,55,Praha 2,26000
,280,Praha 2,79000
3+1,108,Praha 2,38000
3+kt,116,Praha 3,55277
2+kt,40,Praha 1,13000
1+kt,33,Praha 7,10500
1+kt,48,Praha 1,15000
3+kt,104,Praha 1,28000
3+kt,85,Praha 4,55000
4+kt,186,Praha 3,43000
1+kt,28,Praha,12900
1+kt,33,Praha 5,13000
3+kt,69,Praha,41000
2+kt,43,Praha 4,8500
2+kt,47,Praha,14050
2+kt,64,Praha 2,36400
2+kt,44,Praha 1,20000
3+1,105,Praha,53000
2+1,80,Praha 1,44000
3+kt,103,Praha,52000
5+1,192,Praha 1,150000
3+1,106,Praha 2,26000
1+kt,40,Praha 9,10000
1+kt,37,Praha 1,11500
2+kt,60,Praha 2,17000
3+kt,70,Praha 5,20000
3+1,106,Praha 7,25000
5+1,183,Praha 2,120000
2+1,58,Praha 1,18000
2+kt,45,Praha 2,15500
1+1,33,Praha 3,16500
1+kt,30,Praha,7500
1+kt,48,Praha 3,14118
2+1,97,Praha 5,21000
2+kt,59,Praha 7,21900
2+kt,58,Praha 5,24900
2+kt,46,Praha 1,15500
3+kt,63,Praha 8,18000
2+kt,52,Praha 1,14000
1+kt,30,Praha 1,10500
3+1,111,Praha,54000
2+kt,48,Praha 3,15000
2+kt,52,Praha 3,15000
2+kt,49,Praha 5,14000
3+1,84,Praha 4,21999
2+kt,48,Praha 1,13999
2+kt,45,Praha 5,17900
1+kt,25,Praha 5,13900
2+1,50,Praha 6,13000
2+kt,52,Praha,15500
3+kt,106,Praha 6,34000
2+kt,127,Praha 1,15000
1+1,65,Praha 6,15000
unusual,110,Praha 1,54000
unusual,50,Praha 1,25000
2+kt,55,Praha 5,16000
unusual,80,Praha 1,25800
4+1,132,Praha 1,40000
5+1,183,Praha 2,100000
2+kt,52,Praha,25000
2+kt,42,Praha,24000
2+kt,49,Praha 7,32000
3+kt,89,Praha 7,35000
unusual,203,Praha 6,65000
1+kt,31,Praha 6,13000
3+kt,112,Praha 4,22000
5+kt,220,Praha 6,40000
2+kt,50,Praha,17500
5+kt,172,Praha 1,59000
2+kt,56,Praha 1,17500
2+kt,64,Praha,17000
1+1,45,Praha 3,15000
2+kt,58,Praha,18500
2+kt,52,Praha 8,21000
3+1,110,Praha 1,40000
3+kt,100,Praha 6,40000
3+kt,140,Praha 1,73000
3+kt,80,Praha 3,30000
2+kt,53,Praha 1,15900
2+kt,56,Praha 9,20000
3+kt,74,Praha 4,16500
2+1,50,Praha 1,17360
2+kt,34,Praha,16000
3+kt,67,Praha 4,17000
2+kt,35,Praha 2,17000
3+kt,106,Praha 6,34000
,280,Praha 2,65000
1+kt,27,Praha 5,11499
1+kt,42,Praha 4,19900
2+1,64,Praha 1,23000
1+kt,36,Praha 4,9000
2+kt,53,Praha 1,24500
1+1,40,Praha 2,21000
3+kt,107,Praha 2,55000
2+kt,52,Praha 9,16500
4+kt,84,Praha 5,21000
2+1,85,Praha 7,21000
4+1,132,Praha 7,38280
2+kt,51,Praha 3,16500
2+kt,55,Praha 9,13000
2+kt,53,Praha 3,14990
2+kt,40,Praha 1,25000
2+kt,50,Praha 2,26000
3+kt,117,Praha 8,37000
2+kt,56,Praha 3,17500
3+1,144,Praha 2,58000
2+kt,42,Praha 1,16000
5+kt,250,Praha 6,40000
2+1,41,Praha 1,14500
4+1,153,Praha 6,62000
2+1,73,Praha 8,25000
3+kt,76,Praha 5,24500
2+kt,62,Praha 3,24700
2+kt,50,Praha 8,23500
1+kt,41,Praha 5,19000
4+kt,182,Praha 4,
3+1,103,Praha 8,21500
3+kt,121,Praha 5,48000
2+1,127,Praha 1,50000
3+kt,90,Praha 6,25000
3+kt,76,Praha,26000
2+kt,82,Praha 4,60000
4+1,100,Praha 5,29000
2+kt,45,Praha 5,17900
3+1,73,Praha 1,36400
3+kt,66,Praha,27000
unusual,140,Praha 5,27000
1+kt,44,Praha 2,18000
2+kt,34,Praha 2,22000
2+1,106,Praha 2,33000
2+kt,50,Praha 2,26210
2+kt,70,Praha,20000
2+1,87,Praha 2,25000
2+kt,56,Praha 3,17500
5+kt,139,Praha 6,35000
3+kt,111,Praha,28000
2+kt,57,Praha 8,21500
,237,Praha 5,70000
4+kt,105,Praha 3,26500
3+1,81,Praha 2,30000
1+kt,24,Praha 5,10500
1+kt,40,Praha,10000
2+kt,57,Praha 8,24000
2+kt,64,Praha 5,24000
1+kt,23,Praha 5,11000
2+1,45,Praha 4,18800
3+1,81,Praha 2,30000
3+kt,79,Praha 5,19000
1+1,36,Praha 4,13000
4+kt,140,Praha 9,27000
1+kt,29,Praha 1,13900
2+kt,64,Praha 5,16000
1+1,39,Praha 9,10600
3+kt,63,Praha 9,18000
2+kt,56,Praha 4,15500
2+kt,50,Praha 2,21500
2+kt,51,Praha 6,14000
2+kt,51,Praha 5,20500
2+kt,89,Praha 9,21000
3+kt,72,Praha 9,18500
2+kt,50,Praha 9,15000
2+kt,45,Praha 5,14000
2+kt,47,Praha 5,13500
unusual,102,Praha 5,35000
2+kt,58,Praha 2,27000
flatshare,20,Praha 5,10000
2+kt,61,Praha 3,20000
3+kt,96,Praha,19000
2+1,87,Praha 2,25000
2+kt,50,Praha 9,15000
2+kt,45,Praha 8,12500
3+kt,72,Praha 5,19000
3+1,76,Praha 3,23000
1+kt,38,Praha 1,12000
2+kt,45,Praha 5,17900
2+kt,62,Praha 9,17000
3+kt,106,Praha 6,34000
2+kt,51,Praha 5,18000
2+kt,45,Praha 1,15000
,240,Praha 5,70000
3+kt,78,Praha 4,20806
2+kt,56,Praha 3,17500
3+kt,87,Praha 2,25000
2+kt,80,Praha 8,21500
4+kt,90,Praha 8,25000
2+1,55,Praha 2,26000
2+kt,63,Praha 8,19900
1+kt,44,Praha 2,18000
2+1,70,Praha 7,16500
2+kt,60,Praha 3,59776
2+kt,45,Praha 5,17900
1+kt,41,Praha 9,14000
3+kt,73,Praha 1,36400
3+kt,99,Praha 5,30000
3+kt,98,Praha 3,45151
3+kt,114,Praha 1,28000
3+kt,114,Praha 2,28000
4+1,200,Praha 2,105000
2+kt,46,Praha 9,13500
5+kt,170,Praha 6,48990
2+kt,55,Praha 5,35000
1+kt,40,Praha 5,16000
3+kt,104,Praha 6,39000
1+kt,45,Praha 4,15000
1+kt,25,Praha 5,27500
2+kt,50,Praha 5,32000
2+kt,56,Praha 3,17500
1+kt,44,Praha 7,16000
1+kt,30,Praha 5,27500
2+kt,50,Praha 5,35000
2+kt,66,Praha 1,35000
3+kt,85,Praha 8,36000
3+kt,69,Praha 1,31000
3+kt,93,Praha 4,35000
2+kt,52,Praha 1,23000
3+kt,85,Praha 8,37000
2+kt,66,Praha 2,27000
3+kt,85,Praha 8,38000
4+kt,103,Praha 3,
3+kt,56,Praha 2,42000
2+kt,65,Praha 1,27000
2+kt,86,Praha 2,44700
1+kt,35,Praha 2,23200
4+kt,144,Praha 5,50000
1+1,45,Praha 2,21000
1+kt,43,Praha 3,12500
4+kt,135,Praha 3,92800
3+kt,154,Praha 3,59800
2+kt,40,Praha 2,18000
2+kt,55,Praha 1,18000
3+kt,70,Praha 1,17000
2+kt,64,Praha 2,22900
1+kt,20,Praha 1,9000
3+kt,101,Praha 3,33000
1+kt,40,Praha 5,13000
3+kt,90,Praha 5,24000
2+kt,40,Praha 8,14000
2+kt,123,Praha 7,23000
2+kt,60,Praha 3,60279
3+kt,73,Praha 6,21000
2+1,70,Praha 7,22900
