type,size,locality,price
,202,6,69000
3,55,1,18700
3,60,1,14000
1,35,1,14000
1,38,1,13000
4,61,5,20000
3,56,3,17500
7,159,1,45000
1,24,3,16000
1,44,0,13000
3,52,4,16000
10,198,0,65000
5,71,5,22000
7,123,1,54000
1,47,1,25000
7,123,1,55000
7,125,1,56000
3,68,8,27000
7,121,1,53000
5,92,1,28000
9,170,1,70000
7,120,1,53000
7,120,1,60000
9,320,6,85000
4,91,8,35000
1,60,9,19000
,450,6,155000
3,62,8,26000
3,75,8,32000
2,40,2,21000
1,35,2,21000
5,85,2,38000
2,42,8,11000
3,52,4,18000
1,35,5,11500
6,214,1,100000
5,84,6,22000
4,78,6,24000
6,75,4,22000
7,158,5,37000
4,53,2,19000
5,74,5,23000
11,20,3,7500
3,42,9,14990
3,67,1,17000
1,27,6,10500
6,74,4,16000
11,20,4,10000
8,150,1,79000
9,195,6,80000
4,119,1,65000
5,80,2,38000
1,46,1,17000
,200,5,79900
3.0,83.0,1.0,
3,59,7,14000
6,104,6,30000
1,22,4,9000
12,45,5,17900
1,28,1,25000
1,35,4,12000
3,71,5,28000
3,37,1,10000
4,54,3,14000
4,51,4,14000
3,52,3,18500
6,72,4,18000
5,67,4,17500
2,38,1,13000
3,55,5,16000
1,29,1,14000
3,55,1,19000
5,64,4,17000
6,70,1,16000
6,70,1,16000
1,40,9,13500
2,38,0,12000
3,44,5,15000
5,90,5,24000
1,30,6,17000
6,64,1,15200
5,92,1,45000
3,55,5,18000
3,55,9,18000
5,69,5,20400
1,37,4,11000
3,45,5,17900
1,42,8,10000
3,63,4,19000
5,95,5,20000
5,101,3,33000
1,24,3,16000
3,45,5,17900
3,40,8,14000
3,36,8,13500
6,85,1,30000
1,40,2,17000
3,65,4,25000
3,47,6,13500
3,58,1,18500
3,46,5,14000
,209,5,79900
3,57,0,15000
5,56,2,31500
3,56,3,17500
7,106,2,30000
6,105,1,24000
5,88,4,27000
3,50,4,16500
5,81,2,22500
4,85,4,21900
7,139,4,35000
1,33,9,10500
4,45,4,18800
1,34,9,13000
2,37,8,9600
4,75,1,15000
3,40,6,12000
6,88,3,24000
3,50,1,17900
3,49,8,21000
8,100,2,25000
3,78,0,22500
3,50,1,17000
3,40,2,19900
1,33,6,10000
1,27,9,12000
4,70,7,16500
3,65,8,18500
5,87,5,26000
3,52,5,22000
6,85,4,17600
2,35,9,11000
1,40,5,13900
3,63,5,13500
5,74,5,17500
3,44,0,14050
6,61,6,21000
3,75,1,17500
5,87,0,20000
3,52,4,14500
5,71,4,16900
6,75,9,16000
5,85,0,24950
5,66,5,20000
3,59,7,21900
3,58,5,24900
3,46,1,15500
6,116,5,32500
5,120,0,49000
3,50,2,22000
3,65,0,27000
5,55,0,23000
7,155,5,45000
1,43,4,13000
6,106,0,24000
6,88,5,20500
1,38,6,16000
1,32,4,10000
6,89,0,30000
7,164,6,63000
2,55,3,11500
3,46,9,13500
4,50,5,13800
5,102,7,29000
6,77,5,12500
7,115,4,30000
5,103,1,32000
4,58,1,16000
5,93,3,44954
3,82,1,45000
5,116,3,55808
3,60,3,59776
3,54,3,21800
3,80,8,21500
,200,5,75000
3,45,0,13000
3,50,5,16000
2,42,1,20000
3,48,5,14000
3,44,1,16000
7,125,2,49900
6,73,5,16000
1,40,9,10000
3,60,2,17000
5,70,5,20000
1,37,1,11500
1,30,9,12500
3,58,4,16000
3,66,9,19700
3,48,8,15000
1,30,3,11499
5,74,1,21499
3,75,2,28000
3,50,4,14900
3,45,8,15000
,128,4,33000
7,120,1,19900
3,56,7,23500
5,81,1,19000
5,70,1,18000
7,134,5,31990
7,149,4,30000
3,55,2,24000
2,42,5,11990
1,32,5,15900
1,54,5,16900
5,80,5,28900
5,69,0,26000
8,105,8,21900
3,45,2,28000
3,71,7,28000
4,75,2,24000
1,31,1,10500
,203,5,75000
5,116,1,32000
3,70,5,11500
3,55,1,15900
7,135,3,92800
1,39,9,12300
3,46,8,13800
4,122,6,18000
3,59,2,30000
5,72,6,28000
9,196,8,45000
3,45,3,14000
4,77,0,38000
4,76,0,41500
8,174,0,89000
10,202,0,90000
6,104,0,48000
4.0,76.0,1.0,
7.0,75.0,0.0,
4,71,7,15000
4,57,6,19500
1,31,6,15000
4,89,6,18000
4,53,6,16000
6,63,4,17000
4,51,6,16000
3,40,4,13800
5,118,9,24000
1,28,7,18000
3,68,7,25000
5,129,4,80000
3,41,6,12000
4,53,1,12900
3,60,0,16000
3,55,0,15000
3,52,8,21000
7,200,3,119000
6,144,2,58000
5,97,0,22000
4,65,0,14000
2,40,2,21000
5,118,8,26500
8,93,4,18000
6,80,4,17000
6,82,4,16500
1,44,2,18000
6,90,7,29990
3,42,9,14900
3,50,1,14900
,237,5,70000
3,45,4,12990
1,42,0,12500
3,81,5,26000
3,55,0,16000
5,100,1,200000
5,60,1,18000
3,65,5,16000
3,53,4,15000
1,35,1,11000
3,77,5,18000
3,58,0,18500
3,50,0,17500
3,64,0,17000
4,71,1,18000
10,174,1,67000
3,50,2,21500
3,42,1,13500
3,65,1,20000
3,53,6,13500
1,24,1,13000
6,92,6,26500
5,78,8,17000
6,101,6,37000
4,40,1,12500
1,29,3,12000
4,50,0,14000
1,40,5,13000
6,103,8,21500
5,118,5,49000
4,95,5,24500
1,46,9,11500
6,78,5,16500
3,68,1,15900
3,58,1,18000
6,88,5,20500
3,42,9,15500
2,36,4,13000
7,140,9,27000
1,29,1,13900
3,64,5,16000
2,39,9,10600
5,63,9,18000
3,56,4,15500
3,51,6,14000
3,51,5,20500
5,79,5,19000
3,89,9,21000
5,72,9,18500
3,47,5,13500
3,82,3,20000
3,50,9,15000
3,45,5,14000
3,49,3,13500
4,80,1,25000
3,48,9,19000
1,33,4,11500
3,46,6,12000
3,43,2,25000
1,26,5,9500
1,13,4,6000
1,42,5,12000
4,90,5,22500
3,45,5,15800
5,90,5,32000
4,50,4,10000
6,200,3,119000
5,120,8,22000
5,75,6,19500
3,45,1,15000
2,35,3,10000
4,44,0,13500
10,206,2,75000
5,70,7,32000
3,51,1,17000
1,25,4,8000
6,126,1,38000
6,160,3,30000
6,126,1,29000
5,70,0,19570
6,144,2,57000
5,82,4,20000
3,90,3,39800
5,116,3,54800
12,102,5,35000
4,71,1,16990
1,33,8,13000
6,96,5,23000
3,50,3,14000
6,70,1,16000
5,87,6,30500
3,53,1,12500
5,72,6,28000
5,150,1,20000
5,106,7,29000
4,80,2,22000
4,75,0,21000
5,67,4,16000
3,43,6,14000
5,79,6,21900
3,51,3,18500
3,52,9,12500
4,50,4,10000
3,33,4,17000
6,63,6,21000
3,53,8,22000
3,70,9,18000
1,34,9,13500
4,64,1,27000
3,64,3,22000
12,233,1,85000
3,64,5,19000
3,71,9,18500
3,50,5,13300
5,82,8,25000
3,54,7,17000
5,79,2,27400
1,37,4,11500
5,78,2,27400
3,40,2,21000
2,35,7,11000
1,22,7,8500
,240,5,70000
3,45,1,20000
3,51,1,15000
3,53,5,18000
4,55,2,26000
6,84,4,21999
1,44,2,18000
3,56,6,16500
8,120,6,39900
3,104,5,43000
5,95,1,39000
7,139,3,119800
3,57,5,17500
3,67,0,35000
3,43,3,17000
3,47,5,14000
5,64,4,17000
3,42,4,12000
4,61,6,22000
5,84,6,22000
3,52,1,14600
5,64,4,18000
5,86,5,22000
1,34,0,11500
2,40,0,15500
4,65,2,19000
1,23,2,11000
1,20,9,8500
,250,1,110000
5,117,1,43000
5,66,0,27000
12,97,2,17700
2,36,1,11500
6,68,4,16000
3,67,3,19000
3,50,2,26210
3,56,5,14500
1,48,5,15500
6,108,7,39000
7,94,7,39000
1,38,4,14500
3,42,8,14000
6,83,5,24000
6,98,5,9750
3,41,4,13000
6,61,1,21000
3,39,3,11500
3,75,8,28000
3,78,0,20000
1,25,8,7500
4,99,0,21000
1,34,2,11000
6,72,0,18000
1,32,1,13000
3,43,9,20000
2,40,2,21000
5,94,0,35000
6,129,2,34500
3,50,0,17900
5,114,1,28000
5,114,2,28000
1,48,1,15000
1,48,1,15000
9,170,6,48990
3,55,5,35000
3,59,7,18000
1,40,5,16000
5,104,6,39000
1,45,4,15000
1,25,5,27500
3,50,5,32000
3,56,3,17500
1,44,7,16000
1,30,5,27500
5,93,4,35000
3,50,5,35000
3,66,1,35000
5,93,5,23000
5,85,8,36000
5,69,1,31000
3,52,1,23000
5,85,8,37000
5,85,8,38000
5,90,5,23800
5,56,2,42000
3,65,1,27000
3,86,2,44700
1,35,2,23200
3,66,2,27000
2,45,2,21000
7,144,5,50000
1,32,4,12000
3,54,4,16000
1,36,8,11000
3,55,5,16000
3,46,2,14400
7,166,3,119800
5,98,5,35000
5,140,8,27000
4,76,2,24000
6,90,2,32000
6,100,1,29000
3,50,1,22500
7,120,6,50000
3,40,3,14000
7,92,1,30000
6,63,1,15800
1,31,3,13000
1,36,9,13000
9,231,7,85000
4,68,5,15000
12,26,4,12000
3,89,3,39952
8,165,1,92000
7,203,1,90000
9,197,1,100000
1,28,4,11000
7,129,1,55000
4,56,4,14000
5,86,3,21500
4,55,4,15000
7,134,3,89800
3,55,5,16000
3,52,0,14000
8,133,2,25000
3,50,3,16000
6,100,2,25000
6,131,2,25000
5,80,1,20000
3,54,2,23000
3,50,2,20000
1,30,1,10500
8,200,2,50000
4,50,8,15000
3,62,1,15000
7,124,1,53000
1,42,1,22000
1,41,1,22000
3,53,3,18900
1,40,1,14000
6,105,6,28000
8,91,5,18000
10,197,1,100000
8,203,1,90000
3,65,4,18500
4,71,5,26000
3,82,1,52000
5,95,4,45000
7,140,1,58000
7,155,5,45000
6,70,4,24000
8,165,1,92000
5,76,5,24000
7,118,5,34000
9,172,1,59000
2,48,5,16000
5,88,5,20500
5.0,129.0,4.0,
5,138,4,130000
7,166,3,119800
7,135,3,89891
5,140,1,75000
3,73,2,27000
3,66,2,23260
3,89,3,39952
10,198,6,65000
5,93,3,44708
6,115,6,30000
5,111,1,19900
5,106,5,22990
5,136,1,50000
3,68,1,28000
1,30,4,8000
7,140,9,27000
8,109,4,30000
5,110,6,25000
8,240,1,60000
3,43,4,14500
6,87,1,30000
,270,6,90000
1,30,4,12000
4,90,1,26000
3,55,1,22000
7,110,6,36000
7,90,8,25000
1,25,1,19500
2,81,0,14500
4,65,0,24900
1,28,7,18000
3,58,8,15000
9,145,5,50000
5,75,9,16500
3,66,1,17000
5,120,3,30000
5,87,3,38000
6,67,8,14500
3,71,5,24000
,160,5,41000
7,101,5,30000
3,65,6,21000
4,75,2,24000
5,99,5,33000
6,120,2,38000
9,170,2,55000
2,35,1,10500
6,152,7,34000
8,100,6,32000
3,53,5,19900
3,65,1,35000
,269,6,90000
10,240,6,54000
5,80,7,24900
3,68,1,30000
3,73,7,28000
3,71,7,28000
6,186,1,51000
3,50,5,35000
6,63,6,21000
9,160,9,48000
5,85,7,24000
5,85,7,24000
3,50,5,35000
,208,2,79900
6,115,1,52000
7,181,5,75000
5,94,2,35900
5,110,2,39490
5,127,2,44900
10,193,5,110000
1,48,1,23000
4,87,2,25000
3,53,5,22000
5,81,5,30450
7,128,2,49900
5,105,1,55000
3,54,5,17500
10,206,2,75000
5,69,5,25000
7,168,2,59000
5,88,5,31850
9,250,7,85000
3,55,5,22900
7,130,2,49900
7,185,5,59000
10,240,6,69500
3,52,6,16200
5,77,4,24000
5,90,1,26000
3,50,1,22000
1,32,4,13000
6,110,1,48000
5,110,6,36000
7,133,4,24000
3,60,4,15000
5,101,6,50000
1,47,6,22000
7,160,2,55000
9,293,6,69000
4,48,3,16000
3,46,3,18000
1,19,3,12900
5,173,5,116055
5,107,4,22500
5,92,3,38999
2,42,1,15999
3,48,2,21999
3,53,9,20499
3,67,5,18000
5,85,0,23800
3,66,3,20499
3,62,7,23999
3,71,3,19999
1,39,3,16499
5,92,3,29999
5.0,111.0,4.0,
4,50,4,10000
1,27,1,11000
2,40,4,14000
3,43,0,13000
5,86,0,25000
3,70,7,21990
2,30,6,13200
3,39,8,18000
5,63,8,18000
1,25,1,7500
5,74,9,19000
3,50,1,17000
5,70,5,19000
5,89,5,27000
7,120,5,30000
4,70,2,20000
7,110,2,60000
3,35,3,20000
5,93,3,59750
12,195,7,75000
5,93,7,35000
4,88,2,25000
1,25,5,11000
4,66,7,16000
5,70,9,25000
12,46,6,17000
5,105,2,30000
6,120,6,31000
3,43,0,13000
3,54,4,15930
5,93,3,60194
3,54,3,21800
5,93,3,45107
5,93,7,41000
3,73,8,32000
1,31,3,16000
4,92,1,45000
1,43,1,15000
3,56,3,17500
6,110,6,30000
7,100,5,39000
3,60,5,23000
7,105,9,33000
4,62,1,15000
8,124,5,35000
,280,2,79000
3,43,2,22000
6,90,5,24000
3,60,3,60220
7,205,2,49000
2,42,1,20000
3,36,3,20000
3,64,5,17000
7,110,2,60000
1,49,1,15000
1,24,3,16000
5,105,1,28000
5,98,5,35000
5,105,1,28000
4,105,5,25000
1,30,4,7500
3,58,3,25000
12,105,1,22000
5,75,1,22000
5,80,9,22000
1,25,5,11400
1,42,9,13000
3,60,8,16000
3,52,4,13000
3,38,9,18000
4,48,9,19000
1,48,1,15000
1,28,1,14500
1.0,37.0,8.0,
3,40,1,13000
1,42,5,14500
1,28,0,12900
1,35,1,10500
6,84,3,25000
1,41,5,19000
8,111,8,25000
1,46,4,13500
1,42,5,14000
3,62,5,17500
3,46,0,30000
1,44,2,18000
3,59,5,21000
3,59,0,17500
3,60,0,15000
1,31,5,13000
3,70,1,17500
6,110,1,33000
3,50,0,17000
3,55,5,16000
5,67,0,18000
2,48,4,10500
5.0,164.0,6.0,
5,140,8,28000
3,50,1,22500
1,33,4,11000
8,87,9,22000
1,52,4,12900
6,80,7,21000
11,25,1,11000
6,80,1,15000
6,88,5,20500
3,54,9,14900
5,82,1,19200
1,17,5,8500
6,157,1,31000
2,48,4,10500
3,67,6,17000
3,50,3,18000
6,115,2,32000
3,51,3,13900
6,114,6,29900
5,117,1,24200
4,70,1,13000
11,20,8,9000
1,38,8,11000
10,196,2,50000
3,50,6,9500
3,47,1,17000
3,55,5,16000
3,39,0,13500
3,68,6,23000
1,13,5,12200
4,44,5,28200
2,37,4,11000
1,28,3,15000
1,33,5,13000
6,82,9,16000
5,123,3,22000
4,55,6,13000
8,110,6,36000
3,66,1,17500
3,50,1,22000
3,44,2,20000
6,134,5,31990
3,75,1,21500
5,107,2,55000
6,110,1,40000
3,63,8,19900
1,12,6,8000
4,65,6,20000
5,80,6,20000
3,45,6,13000
1,36,9,12000
4,55,9,15000
1,40,4,15500
1,33,8,11500
3,64,5,24000
3,54,9,16000
6,110,1,40000
5,90,5,24000
3,54,2,16000
3,45,2,15000
3,53,5,14000
1,35,1,22000
4,60,0,16000
4,80,5,22000
7,130,7,42000
4,56,4,16000
5,85,4,55000
1,31,5,13000
1,40,0,15000
4,56,6,15000
1,37,5,13000
1,35,5,11300
3,45,1,13000
7,99,9,27000
3,58,7,27000
3,58,8,27000
5,54,1,17000
8,93,0,19999
1,43,5,14000
5,104,0,20000
5,107,0,55000
2,57,9,10000
4,90,3,23000
6,121,0,28000
5,79,5,21000
1,42,5,14000
3,49,1,14000
7,194,7,75000
5,93,7,41000
7,107,8,27000
6,117,5,40000
7,144,1,58000
3,60,0,15500
4,55,2,26000
12,55,0,16000
4,55,2,26000
4,58,8,15000
3,40,2,18000
3,64,2,22900
3,55,1,18000
5,70,1,17000
4,73,0,18500
12,180,0,35000
1,40,4,15000
5,93,3,45107
4,65,0,15000
1,30,5,300000
3,45,4,13000
5,96,4,15000
3,51,4,15500
3,57,6,25000
1,50,5,17000
4,53,9,12000
4,89,0,25000
3,75,2,20000
4,90,0,25000
3,56,8,16500
3,72,5,23000
5,120,9,25300
3,50,1,15000
3,72,5,23100
3,51,4,17250
5,63,0,17000
5,101,1,48000
1,30,0,4000
3,61,3,8000
1,41,9,11000
1,45,9,11000
4,54,1,19000
3,52,3,22500
2,40,2,21000
4,64,1,16940
3,50,7,15500
3,69,4,18500
3,50,8,14350
5,80,9,19000
5,90,4,30000
4,65,5,17000
7,200,3,55000
5,87,1,28000
3,71,7,27500
4,80,1,54000
3,120,1,42000
1.0,51.0,5.0,
2,35,7,12000
5,140,1,43500
5,69,1,19500
5,68,1,19500
4,60,6,17500
3,60,4,21000
9,190,8,40000
3,63,0,17000
3,55,0,15500
4,55,0,15000
5,69,4,17000
6,80,4,18000
3,48,8,20000
3,40,9,13000
3,57,4,20000
7,96,0,19800
7,70,0,17900
4,65,1,15000
3,45,1,13700
3,52,8,15000
4,106,2,33000
1,25,1,12000
1,40,4,12800
2,41,2,16500
5,74,1,35000
7,173,3,139800
1,18,9,9500
3,41,7,16500
8,148,1,33000
3,56,3,17500
7,160,5,42000
3,67,1,22000
9,185,5,54000
5,70,3,21000
1,48,0,15000
4,74,6,22000
1,27,4,11500
5,95,7,25000
3,64,1,20000
3,55,5,15000
3,50,5,17000
5,62,0,23000
3,52,0,17000
1,37,1,12800
5,213,5,26000
4,63,8,19500
5,116,8,22000
1,32,0,9500
3,42,1,12500
5,100,9,23000
5,71,7,17500
4,46,9,13200
3,51,4,16700
1,44,4,14590
3,65,5,14000
3,50,2,21900
6,77,4,25000
5,106,1,28000
1,27,4,12000
3,43,5,14000
1,25,6,10500
3,51,2,18000
3,59,8,23000
6,65,9,18000
3,54,4,16000
3,84,5,22000
1,32,9,10000
1,44,2,18000
3,47,6,18000
2,51,4,17000
3,56,8,16500
4,63,1,23780
6,110,1,42980
3,50,4,11000
6,65,0,17000
3,64,5,23000
5,87,6,30500
8,220,0,150000
7,145,0,40300
8,121,5,18500
2,39,0,10000
4,74,3,20000
4,68,5,17500
5,100,5,45000
3,44,1,20000
1,34,4,16000
3,50,1,15000
1,36,3,14000
5,81,2,19990
6,102,3,30990
1,39,3,22000
1,33,4,12000
7,125,5,35000
1,42,4,19900
1,47,0,19900
5,74,6,19800
7,142,0,30000
1,36,4,12500
3,55,8,16800
5,78,4,20806
1,43,1,11000
5,74,4,16500
8,120,7,38280
3,73,5,17500
5,103,8,29500
3,38,1,13300
3,56,7,23500
7,156,6,35000
7,97,1,26900
2,31,0,9500
6,105,0,53000
4,80,1,44000
5,103,0,52000
10,192,1,150000
3,40,0,30000
1,43,0,22000
3,69,0,33000
5,78,0,35000
1,47,0,25000
3,121,0,55000
6,122,0,53000
3,34,0,16000
7,91,5,30000
1,31,5,17000
3,68,5,18000
9,170,6,55000
1,29,0,9000
6,53,4,16000
3,64,7,23000
1,29,0,11000
1,28,0,11500
1,39,0,13000
3,50,0,14500
7,124,3,53000
7,102,4,40000
1,44,4,12998
1,35,5,12500
5,90,6,25000
11,36,4,6000
4,72,2,21000
3,111,1,20000
5,64,4,17000
1,35,5,11500
4,45,4,18800
2,37,4,14000
3,54,1,14500
4,68,8,15000
8,132,7,38280
3,44,5,15000
5,72,0,25000
3,50,4,15000
3,85,5,23500
1,50,4,14000
5,100,4,24000
1,27,0,10000
4,41,1,14500
5,69,8,17200
3,50,3,18500
1,26,6,12000
3,45,0,17700
4,80,4,24000
3,111,1,20000
1,35,3,12500
5,61,1,18000
3,38,0,19900
1,18,5,10000
4,55,9,15000
3,60,5,15500
3,39,1,15000
7,76,1,25000
1,41,8,11600
3,56,0,13000
7,130,4,24500
5,81,9,24000
1,41,8,12000
4,43,1,17000
6,85,4,18000
5,154,3,59800
3,47,6,15500
3,60,0,20000
4,90,5,21000
3,62,0,17800
3,46,3,17900
7,96,4,28000
5,80,1,18500
3,62,1,15000
6,104,2,28000
5,81,6,17000
5,90,4,24000
4,70,2,18000
1,24,0,12000
4,55,2,21000
3,53,9,16000
3,58,4,18500
3,42,1,13000
3,57,5,17000
1,30,4,11500
4,70,2,24000
4,67,5,19500
4,70,5,17000
4,50,0,14000
8,80,4,17000
6,115,1,42000
6,87,2,30000
6,103,1,52000
4,54,4,15000
5,80,6,26000
3,52,1,16000
5,78,2,30000
6,104,1,52000
6,87,2,30000
6,112,1,42000
5,81,1,25500
5,153,3,64800
7,174,3,139800
3,58,4,16400
7,106,6,42000
5,93,3,59716
5,93,1,25000
3,60,3,60313
6,110,6,30000
5,115,8,39000
1,35,3,11900
5,90,2,46182
6,101,0,22000
2,50,0,15000
3,57,9,13000
2,42,1,18000
5,80,2,41100
2,45,0,16000
3,41,1,19000
4,48,2,18900
5,84,5,25500
5,73,5,23500
2,50,5,17500
5,105,0,35000
5,111,0,28000
3,46,1,14300
5,94,4,120000
1,40,5,12000
1,17,5,13000
4,85,1,37000
3,37,0,23000
5,83,4,29000
5,111,8,22500
3,49,1,16000
3,79,1,15500
3,64,1,17500
3,45,0,13000
4,57,0,20000
1,53,4,16500
9,220,6,40000
3,42,0,24000
3,51,4,14000
2,34,2,14000
3,71,0,18500
3,52,0,25000
6,82,1,18400
5,80,0,20900
3,54,7,14500
4,28,0,14000
3,62,5,15900
5,146,4,24000
5,79,1,19300
11,12,4,4000
3,68,1,30000
3,70,1,28000
1,44,1,22000
5,69,1,35000
1,29,0,12000
1,34,5,15999
3,52,7,15300
6,73,4,22000
5,120,5,38000
5,121,3,35000
3,56,1,27000
5,90,7,30000
1,49,8,20000
1,59,1,25000
4,60,2,22000
4,73,1,30000
5,137,1,52000
3,76,1,32000
10,183,2,120000
8,120,7,38280
5,67,6,20000
1,33,4,10000
3,44,4,15000
1,35,5,16000
12,110,1,54000
12,50,1,25000
12,80,1,25800
10,183,2,100000
3,49,7,32000
5,89,7,35000
12,203,6,65000
5,112,4,22000
9,220,6,40000
9,172,1,59000
3,56,1,17500
6,110,1,40000
5,100,6,40000
5,140,1,73000
5,80,3,30000
3,56,9,20000
3,46,0,19000
4,71,8,15000
3,69,2,27000
5,102,3,30990
1,35,2,11000
9,222,6,72000
3,96,6,23000
6,110,1,35000
6,63,6,21000
5,67,4,18000
5,162,2,34000
1,31,1,11000
3,70,0,20000
5,60,6,22000
1,40,0,10000
3,71,1,30000
3,62,2,25000
3,48,3,16000
6,132,0,30000
3,81,3,22000
3,53,5,21000
5,49,3,19500
3,48,1,13999
2,41,0,13500
8,87,5,30000
2,39,9,11000
7,120,5,45000
3,44,1,16000
5,85,9,20000
3,55,2,18000
3,70,2,19000
6,84,3,25000
5,57,6,23000
3,59,9,18346
5,93,7,35000
3,45,3,17500
1,35,5,11500
3,46,6,19000
5,115,5,32000
1,21,5,10000
10,142,7,41000
2,40,5,18400
2,45,1,20000
9,120,6,35000
1,36,8,13400
6,104,1,35000
5,80,6,21000
3,53,6,18000
5,72,2,28000
7,104,6,33000
1,25,6,14000
3,39,6,18000
5,62,6,24000
5,85,6,29000
5,65,6,26000
3,45,3,13000
3,75,4,17990
5,62,6,14000
3,50,5,20100
5,89,6,22000
6,75,0,17500
3,42,5,13500
3,50,8,20700
3,60,1,22000
5,84,6,28000
5,80,0,26000
2,38,4,12700
1,30,8,13000
3,55,2,34700
2,43,4,11300
8,197,1,120000
5,102,2,39500
3,50,1,16500
9,197,1,120000
2,63,4,19000
3,60,9,15000
2,34,2,14000
2,48,4,12000
5,80,1,21000
3,46,6,11000
5,80,4,20000
1,48,1,15000
3,53,8,15000
3,105,0,31500
3,45,2,15000
3,58,1,16000
1,18,5,10000
5,104,1,28000
4,68,4,15990
1,27,3,12000
4,53,6,14500
3,66,0,18000
4,67,2,22500
4,86,2,22000
3,62,5,19000
5,60,2,29900
4,80,0,19200
3,56,5,16000
1,24,0,14300
1,33,0,12000
5,89,5,35000
4,82,3,23000
2,52,5,12000
2,65,2,29000
1,18,4,7000
6,104,1,35000
1,112,5,21000
3,55,5,20500
4,50,9,15000
5,112,4,22000
6,122,2,48800
5,80,5,25000
3,52,2,20800
2,45,5,17500
